,Date,Close,High,Low,Open,Volume,Ticker
0,2020-01-02,43.58000183105469,0.5973723694932445,0.612363499361173,0.5933232760430325,0.013690101468055849,LYFT
1,2020-01-03,43.189998626708984,0.5855646346789737,0.596202596651743,0.5870848210141657,0.01712650850356308,LYFT
2,2020-01-06,43.099998474121094,0.593048432603805,0.598751571290975,0.5860732283311747,0.02099532951263544,LYFT
3,2020-01-07,44.25,0.6078496865880083,0.6100225570364702,0.5926488380424066,0.019668936088104168,LYFT
4,2020-01-08,45.08000183105469,0.6251455610274331,0.62458819255051,0.6088349641497386,0.025657487876097777,LYFT
5,2020-01-09,45.59000015258789,0.6288042573367024,0.635859244443005,0.6260327472580092,0.018747887383576176,LYFT
6,2020-01-10,46.060001373291016,0.6334608779570605,0.6504248799570448,0.633282794969867,0.017853907932610047,LYFT
7,2020-01-13,46.349998474121094,0.6369532958417039,0.6464366788950696,0.6454224217093398,0.012886352862295931,LYFT
8,2020-01-14,47.68000030517578,0.6627307656353819,0.6660308754847304,0.646265437051148,0.020828055407291622,LYFT
9,2020-01-15,47.08000183105469,0.6637286265056374,0.676088129929972,0.6678469385275907,0.008608022632672312,LYFT
10,2020-01-16,46.83000183105469,0.6552469677105507,0.663429909303616,0.6663294851851567,0.009819892292134159,LYFT
11,2020-01-17,46.52000045776367,0.6461001317761274,0.6618693031361474,0.6570561877893695,0.010820760590498415,LYFT
12,2020-01-21,47.97999954223633,0.6755363613199081,0.6677649190858065,0.6486259057353905,0.029938594439420048,LYFT
13,2020-01-22,47.470001220703125,0.6785298804898406,0.6844113407741377,0.6771202359233779,0.01523513117135601,LYFT
14,2020-01-23,48.47999954223633,0.6780309183342962,0.6805965109987702,0.6651492508430354,0.015293434179027713,LYFT
15,2020-01-24,48.43000030517578,0.6883419570044342,0.6896133392833662,0.6852132989770439,0.02453862539554079,LYFT
16,2020-01-27,47.36000061035156,0.6569100691609763,0.6637767180238312,0.6541899227636316,0.012932856451748362,LYFT
17,2020-01-28,48.209999084472656,0.6685514621097877,0.6868389356686443,0.6700388298706506,0.006502867605668995,LYFT
18,2020-01-29,46.84000015258789,0.6733743611547716,0.6677649190858065,0.6734109555558316,0.038519547818530495,LYFT
19,2020-01-30,47.790000915527344,0.6609013857603306,0.6701925139803131,0.6511550160787634,0.008057614476914438,LYFT
20,2020-01-31,47.47999954223633,0.6572426260102279,0.6698457052600979,0.6639690165009142,0.0143106120497047,LYFT
21,2020-02-03,47.959999084472656,0.6725428421499756,0.6844113407741377,0.6676783611864081,0.00499601249072531,LYFT
22,2020-02-04,50.0,0.7119574266329758,0.6981099875611394,0.682347033951306,0.042921424897744156,LYFT
23,2020-02-05,48.060001373291016,0.7038084515688078,0.6910005741642271,0.7143821314836047,0.028611506931464116,LYFT
24,2020-02-06,47.41999816894531,0.6738732598694825,0.6759147586433644,0.6815040186094976,0.036007659904674576,LYFT
25,2020-02-07,49.91999816894531,0.6966572739340615,0.6889197879899356,0.6924633466889016,0.07340973340949741,LYFT
26,2020-02-10,53.720001220703125,0.7611840876305696,0.7366048955940302,0.7214635375363321,0.09322026251623287,LYFT
27,2020-02-11,53.939998626708984,0.7708298857205373,0.781515533436403,0.7833418412578699,0.12822983045624184,LYFT
28,2020-02-12,48.459999084472656,0.7176118446827556,0.7034853573569756,0.7287135852481899,0.2407296482593429,LYFT
29,2020-02-13,47.029998779296875,0.6858473365492126,0.678862533544694,0.6815040186094976,0.09523171628090667,LYFT
30,2020-02-14,44.689998626708984,0.6485947522313489,0.6386336480577268,0.6590794374732989,0.1362457999276765,LYFT
31,2020-02-18,45.099998474121094,0.6199900416923642,0.6280562136056623,0.6164222308619092,0.04479197972721133,LYFT
32,2020-02-19,46.2400016784668,0.6349576375420267,0.6344720095621441,0.627718777941626,0.03817042385592494,LYFT
33,2020-02-20,45.470001220703125,0.6421087517359394,0.63688227394269,0.6401956236814117,0.04545829981488795,LYFT
34,2020-02-21,44.70000076293945,0.6221520418575006,0.6360326157296127,0.6272129816001304,0.016422013827529988,LYFT
35,2020-02-24,42.52000045776367,0.5730916592845327,0.574822298772124,0.5742708205920148,0.06736010228013345,LYFT
36,2020-02-25,41.81999969482422,0.5992017493682958,0.585226295790581,0.5953465257269619,0.06724696668191336,LYFT
37,2020-02-26,39.86000061035156,0.5656078613597013,0.5455176564574367,0.5714044912483291,0.07025998282837607,LYFT
